Topic,Words,Size
-1,"['singapore', 'chinese', 'new', 'racial', 'survey', 'mixed', 'wearing', 'schools', 'race', 'report', 'recent', 'minority', 'needs', 'non', 'teachers', 'people', 'experiences', 'officer', 'existence', 'shadow']",22
0,"['women', 'muslim', 'support', 'solidarity', 'join', 'thank', 'community', 'malay', 'creative', 'media', 'means', 'woman', 'communications', 'book', 'haji', 'perspective', 'look', 'raya', 'link', 'collective']",29
1,"['just', 'racism', 'don', 'want', 'racist', 'people', 'indian', 'minorities', 'doesn', 'think', 'need', 'like', 'issue', 'open', 'simply', 'country', 'make', 'way', 'hope', 'instead']",69
